Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 10.85     10.58    10.58                             collision (d2q9-bgk.c:316 @ 402396)
  8.43     18.81     8.22                             collision (d2q9-bgk.c:387 @ 402ba4)
  7.43     26.06     7.25                             av_velocity (d2q9-bgk.c:417 @ 402cd4)
  5.72     31.64     5.58                             collision (d2q9-bgk.c:385 @ 402b69)
  5.01     36.53     4.89                             collision (d2q9-bgk.c:385 @ 402bed)
  3.61     40.05     3.52                             av_velocity (d2q9-bgk.c:437 @ 402f83)
  2.43     42.42     2.37                             collision (d2q9-bgk.c:354 @ 402725)
  1.74     44.11     1.70                             collision (d2q9-bgk.c:383 @ 402c27)
  1.59     45.67     1.55                             propagate (d2q9-bgk.c:244 @ 401bbe)
  1.44     47.07     1.40                             collision (d2q9-bgk.c:314 @ 40238d)
  1.27     48.31     1.24                             av_velocity (d2q9-bgk.c:415 @ 402d15)
  1.27     49.54     1.24                             propagate (d2q9-bgk.c:257 @ 401e40)
  1.26     50.77     1.23                             propagate (d2q9-bgk.c:259 @ 401efa)
  1.23     51.97     1.20                             propagate (d2q9-bgk.c:254 @ 401d29)
  1.17     53.11     1.14                             propagate (d2q9-bgk.c:252 @ 401c6f)
  1.16     54.24     1.13                             propagate (d2q9-bgk.c:251 @ 401c14)
  1.15     55.36     1.13                             propagate (d2q9-bgk.c:253 @ 401ccc)
  1.14     56.48     1.12                             propagate (d2q9-bgk.c:258 @ 401e9d)
  1.13     57.58     1.10                             collision (d2q9-bgk.c:337 @ 40266c)
  1.09     58.64     1.06                             propagate (d2q9-bgk.c:255 @ 401d86)
  1.07     59.68     1.04                             propagate (d2q9-bgk.c:256 @ 401de3)
  0.90     60.56     0.88                             av_velocity (d2q9-bgk.c:421 @ 402e47)
  0.88     61.41     0.86                             collision (d2q9-bgk.c:385 @ 402c1d)
  0.88     62.27     0.86                             propagate (d2q9-bgk.c:245 @ 401bcd)
  0.86     63.11     0.84                             collision (d2q9-bgk.c:329 @ 402559)
  0.84     63.93     0.82                             av_velocity (d2q9-bgk.c:422 @ 402d4d)
  0.80     64.71     0.78                             collision (d2q9-bgk.c:324 @ 4024b0)
  0.80     65.49     0.78                             rebound (d2q9-bgk.c:274 @ 401faf)
  0.77     66.24     0.75                             collision (d2q9-bgk.c:332 @ 4025f4)
  0.74     66.96     0.72                             av_velocity (d2q9-bgk.c:421 @ 402d1f)
  0.74     67.68     0.72                             av_velocity (d2q9-bgk.c:423 @ 402d7f)
  0.74     68.40     0.72                             av_velocity (d2q9-bgk.c:430 @ 402e7f)
  0.73     69.11     0.71                             collision (d2q9-bgk.c:331 @ 4025c3)
  0.72     69.81     0.70                             collision (d2q9-bgk.c:322 @ 40244a)
  0.70     70.49     0.69                             av_velocity (d2q9-bgk.c:433 @ 402f11)
  0.70     71.17     0.68                             collision (d2q9-bgk.c:386 @ 402c19)
  0.69     71.85     0.68                             collision (d2q9-bgk.c:325 @ 4024e5)
  0.69     72.52     0.67                             av_velocity (d2q9-bgk.c:415 @ 402ccb)
  0.68     73.18     0.66                             collision (d2q9-bgk.c:333 @ 402629)
  0.68     73.84     0.66                             collision (d2q9-bgk.c:366 @ 402910)
  0.67     74.49     0.66                             av_velocity (d2q9-bgk.c:410 @ 402c99)
  0.65     75.13     0.64                             av_velocity (d2q9-bgk.c:434 @ 402f43)
  0.64     75.75     0.62                             collision (d2q9-bgk.c:314 @ 4023da)
  0.64     76.37     0.62                             collision (d2q9-bgk.c:386 @ 402b9f)
  0.64     76.99     0.62                             av_velocity (d2q9-bgk.c:425 @ 402ddf)
  0.63     77.61     0.62                             collision (d2q9-bgk.c:321 @ 402415)
  0.60     78.19     0.59                             collision (d2q9-bgk.c:320 @ 4023e4)
  0.59     78.77     0.58                             av_velocity (d2q9-bgk.c:424 @ 402db1)
  0.59     79.35     0.58                             av_velocity (d2q9-bgk.c:431 @ 402eb1)
  0.57     79.91     0.56                             collision (d2q9-bgk.c:379 @ 402b08)
  0.57     80.46     0.56                             av_velocity (d2q9-bgk.c:432 @ 402ee3)
  0.56     81.01     0.55                             collision (d2q9-bgk.c:383 @ 402b5d)
  0.56     81.56     0.55                             collision (d2q9-bgk.c:328 @ 402528)
  0.56     82.11     0.55                             collision (d2q9-bgk.c:353 @ 40274d)
  0.54     82.64     0.53                             collision (d2q9-bgk.c:370 @ 40298e)
  0.53     83.16     0.52                             collision (d2q9-bgk.c:373 @ 402a0c)
  0.52     83.66     0.51                             collision (d2q9-bgk.c:323 @ 40247f)
  0.51     84.16     0.50                             av_velocity (d2q9-bgk.c:429 @ 402e51)
  0.51     84.66     0.50                             collision (d2q9-bgk.c:363 @ 40288c)
  0.49     85.14     0.48                             av_velocity (d2q9-bgk.c:426 @ 402e11)
  0.46     85.59     0.45                             collision (d2q9-bgk.c:378 @ 402adf)
  0.45     86.03     0.44                             collision (d2q9-bgk.c:360 @ 402805)
  0.43     86.45     0.42                             collision (d2q9-bgk.c:376 @ 402a8a)
  0.42     86.86     0.41                             collision (d2q9-bgk.c:330 @ 40258e)
  0.42     87.27     0.41                             collision (d2q9-bgk.c:362 @ 402860)
  0.41     87.67     0.40                             collision (d2q9-bgk.c:357 @ 40277e)
  0.41     88.06     0.40                             collision (d2q9-bgk.c:309 @ 402358)
  0.40     88.45     0.39                             collision (d2q9-bgk.c:361 @ 402838)
  0.38     88.82     0.37                             collision (d2q9-bgk.c:371 @ 4029bb)
  0.38     89.19     0.37                             collision (d2q9-bgk.c:375 @ 402a61)
  0.34     89.53     0.34                             collision (d2q9-bgk.c:364 @ 4028bf)
  0.34     89.86     0.33                             collision (d2q9-bgk.c:365 @ 4028e7)
  0.34     90.19     0.33                             collision (d2q9-bgk.c:378 @ 402b54)
  0.33     90.51     0.32                             collision (d2q9-bgk.c:369 @ 402965)
  0.33     90.83     0.32                             collision (d2q9-bgk.c:374 @ 402a39)
  0.33     91.15     0.32                             collision (d2q9-bgk.c:356 @ 402752)
  0.33     91.47     0.32                             collision (d2q9-bgk.c:367 @ 40293d)
  0.30     91.76     0.29                             collision (d2q9-bgk.c:359 @ 4027d9)
  0.30     92.05     0.29                             collision (d2q9-bgk.c:372 @ 4029e3)
  0.30     92.34     0.29                             collision (d2q9-bgk.c:380 @ 402b35)
  0.28     92.62     0.28                             collision (d2q9-bgk.c:358 @ 4027b1)
  0.28     92.89     0.27                             collision (d2q9-bgk.c:348 @ 402709)
  0.26     93.14     0.25                             collision (d2q9-bgk.c:377 @ 402ab7)
  0.26     93.39     0.25                             collision (d2q9-bgk.c:375 @ 402ad6)
  0.26     93.64     0.25                             propagate (d2q9-bgk.c:246 @ 401bdc)
  0.25     93.88     0.24                             collision (d2q9-bgk.c:372 @ 402a58)
  0.24     94.11     0.23                             rebound (d2q9-bgk.c:271 @ 401fa3)
  0.22     94.32     0.22                             propagate (d2q9-bgk.c:247 @ 401bf8)
  0.22     94.53     0.21                             rebound (d2q9-bgk.c:278 @ 401fd8)
  0.20     94.73     0.20                             collision (d2q9-bgk.c:346 @ 4026e0)
  0.19     94.92     0.19                             av_velocity (d2q9-bgk.c:407 @ 402fbb)
  0.19     95.11     0.19                             propagate (d2q9-bgk.c:240 @ 401f57)
  0.17     95.28     0.17                             collision (d2q9-bgk.c:331 @ 40265e)
  0.17     95.45     0.17                             collision (d2q9-bgk.c:306 @ 402c35)
  0.17     95.62     0.17                             collision (d2q9-bgk.c:343 @ 4026a4)
  0.17     95.78     0.17                             collision (d2q9-bgk.c:344 @ 4026bc)
  0.13     95.91     0.13                             collision (d2q9-bgk.c:347 @ 4026ef)
  0.11     96.02     0.11                             av_velocity (d2q9-bgk.c:439 @ 402fb7)
  0.11     96.13     0.11                             collision (d2q9-bgk.c:312 @ 402384)
  0.10     96.23     0.10                             av_velocity (d2q9-bgk.c:429 @ 402f79)
  0.10     96.33     0.10                             collision (d2q9-bgk.c:306 @ 40234c)
